"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"Channel_Division__c","keep","678.0","False","STRING(Formula)","Channel Division"
"Channel_Partner_Current_Target__c","keep","62266.0","False","DOUBLE(Formula)","Channel Partner Current Target"
"Channel_Partner_Stage__c","keep","62266.0","False","STRING(Formula)","Channel Partner Stage"
"Channel_Region__c","keep","845.0","False","STRING(Formula)","Channel Region"
"Channel_Sub_Region__c","keep","551.0","False","STRING(Formula)","Channel Sub-Region"
"Close_Date_Month__c","keep","62266.0","False","DOUBLE(Formula)","Close Date Month"
"Close_Date_Updates__c","keep","55917.0","False","DOUBLE","# Close Date Updates"
"Close_Probability__c","remove_zero_populated_not_required","0.0","False","STRING","Close Probability"
"Close_strategy__c","keep","1.0","False","STRING","Close Strategy"
"Closed_Qtr__c","keep","62266.0","False","STRING(Formula)","Closed Qtr"
"Competition_Notes__c","remove_zero_populated_not_required","0.0","False","STRING","Competition Notes"
"Competition_Type__c","remove_zero_populated_not_required","0.0","False","STRING","Competition Type"
"Competitor_Name_CAT__c","keep","10026.0","False","STRING","Competitor Name"
"Competitors_Added__c","keep","53047.0","False","DOUBLE","# Competitors Added"
"Competitors_Other__c","keep","11906.0","False","STRING","Competitors (Other)"
"Competitors__c","keep","51457.0","False","STRING","Competitors"
"Consumables_Product__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Consumables Product"
"Contact__c","remove_zero_populated_not_required","0.0","False","STRING","Contact"
"Contacts__c","keep","28907.0","False","ID","Contact"
"Contract_Code__c","remove_zero_populated_not_required","0.0","False","STRING","Contract Code"
"Contract_Duration__c","remove_zero_populated_not_required","0.0","False","STRING","Contract Duration"
"Contract_Length_CAT__c","keep","32274.0","False","DOUBLE","Contract Length (months)"
"Contract_Manager__c","remove_zero_populated_not_required","0.0","False","ID","Contract Manager"
"Contract_Start_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Contract Start Date"
"Contract_Type__c","keep","28.0","False","STRING","Contract Type"
"Contribution_This_Year__c","keep","62266.0","False","DOUBLE(Formula)","Contribution This Year"
"Converted_Currency_in_USD__c","keep","5560.0","False","DOUBLE","Converted Currency in USD"
"Cooperation_Method__c","remove_zero_populated_not_required","0.0","False","STRING","Cooperation Method"
"Cooperation_Method_of_Current_Brand__c","remove_zero_populated_not_required","0.0","False","STRING","Cooperation Method of Current Brand"
"Copan_Approved_Configuration__c","keep","19.0","False","BOOLEAN","Copan Approved Configuration"
"Corporate_Account__c","keep","62266.0","True","BOOLEAN(Formula)","Corporate Account"
"Created_date_for_Dashboard__c","keep","62266.0","False","DATE(Formula)","Created date for Dashboard"
"Created_from_Lead__c","keep","2090.0","False","BOOLEAN","Created from Lead"
"Current_Brand_BMK__c","keep","1.0","False","STRING","Current Brand BMK"
"Current_Brand__c","remove_zero_populated_not_required","0.0","False","STRING","Current Brand"
"Current_Monthly_Revenue__c","keep","1189.0","False","DOUBLE(Formula)","Current Monthly Revenue"
"Current_Price_Per_Sample__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Current Price Per Sample"
"Current_Sales_Status__c","remove_zero_populated_not_required","0.0","False","STRING","??????"
"Current_Samples__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Current Samples"
"Customer_Order__c","keep","190.0","False","STRING","Customer Order #"
"Customer_Requested_Install_Date__c","keep","3.0","False","DATE","Customer Requested Install Date"
"Customer_Timeline__c","remove_zero_populated_not_required","0.0","False","STRING","Customer Timeline"
"DS_Recommendation__c","remove_zero_populated_not_required","0.0","False","ID","Recommendation"
"Data_Science_Recommendation_Info__c","remove_ds_dependency","62266.0","False","STRING(Formula)","Data Science Recommendation Info"
"Date_in_Evaluvation__c","keep","10264.0","False","DATE","Date in Evaluvation"
"Date_in_Needs_Analysis__c","keep","11164.0","False","DATE","Date in Needs Analysis"
"Date_in_On_Hold__c","keep","5036.0","False","DATE","Date in On Hold"
"Date_in_Proposal__c","keep","14498.0","False","DATE","Date in Proposal"
"Date_in_Prospect__c","keep","41072.0","False","DATE","Date in Prospect"
"Date_in_Verbal_Agreement__c","keep","8375.0","False","DATE","Date in Verbal Agreement"
